Spanish,English
de,of
la,the
que,that
el,he
y,and
en,in
a,to
los,the
del,of the
se,HE
las,the
por,by
un,a
con,with
para,for
no,No
una,a
es,is
su,his
al,to the
lo,it
como,as
más,further
o,either
este,this
pero,but
sus,their
esta,this
si,Yeah
ha,ha
me,I
ya,already
le,you
son,are
sobre,about
entre,between
ser,be
fue,was
sin,without
todo,all
también,also
desde,from
cuando,when
muy,very
está,this
todos,all
hay,there is
tiene,has
nos,us
porque,because
dos,two
hasta,until
donde,where
parte,part
así,So
han,they have
puede,can
mi,my
cada,each
uno,one
vez,time
bien,good
hace,does
trabajo,job
nacional,national
estado,state
otros,others
gobierno,government
eso,that
tiempo,time
además,besides
mismo,same
ese,that
hacer,do
país,country
yo,I
durante,during
te,tea
día,day
tanto,so much
vida,life
esto,this
forma,shape
estos,these
sólo,only
personas,people
ni,neither
otro,other
ahora,now
hoy,today
era,was
caso,case
están,are
les,them
mejor,better
lugar,place
qué,that
quien,who
cual,which
esa,that
ciudad,city
general,general
mundo,world
siempre,always
menos,less
desarrollo,development
contra,against
cuenta,account
tres,three
ver,see
más,further
mayor,elderly
otra,other
mucho,a lot
dijo,said
tienen,have
sido,been
presidente,president
ante,in view of
según,according to
tener,have
primera,first
sea,be
debe,has to
después,after
aunque,although
ley,law
sistema,system
manera,manner
solo,only
poder,can
nuevo,new
ellos,they
todas,all
social,social
información,information
momento,moment
sino,but
nuestro,our
otras,others
antes,before
luego,then
estas,are
tu,you
algo,something
había,there was
días,days
nuestra,our
primer,first
nada,nothing
hecho,made
poco,bit
pueden,they can
proyecto,project
será,be
va,goes
grupo,cluster
fueron,were
través,through
algunos,some
tan,so
tipo,guy
medio,half
gente,people
decir,say
equipo,equipment
nueva,new
importante,important
san,saint
toda,all
mientras,while
pues,well
centro,center
acuerdo,agreement
programa,program
salud,health
pasado,past
empresa,company
muchos,many
fin,end
dentro,inside
nivel,level
partido,game
servicios,services
casa,home
educación,education
servicio,service
seguridad,security
proceso,process
horas,hours
él,he
política,policy
tal,such
artículo,article
universidad,university
historia,history
cosas,things
cualquier,any
sí,Yeah
unos,some
hacia,toward
misma,same
estar,be
ello,it
tema,issue
cómo,as
empresas,companies
gracias,thank you
calidad,quality
quienes,who
embargo,embargo
público,public
frente,forehead
agua,water
situación,situation
ella,she
sociedad,society
creo,believe
nosotros,us
final,final
muchas,many
méxico,Mexico
derecho,right
zona,zone
argentina,Argentina
bajo,low
estamos,we are
respecto,regard
entonces,so
sector,sector
ejemplo,example
estaba,was
tras,after
semana,week
personal,staff
casi,almost
tenemos,have
recursos,resources
diferentes,different
dice,says
veces,times
punto,spot
estados,state
uso,use
actividades,activities
partir,leave
haber,to have
dar,give
relación,relationship
internacional,international
número,number
meses,months
parece,seems
aún,still
derechos,rights
datos,data
aquí,here
grandes,big
nunca,never
problemas,issues
mercado,market
países,countries
cambio,change
nombre,name
he,He
persona,person
nuestros,our
segundo,second
hizo,did
sentido,sense
cuatro,four
fecha,date
da,gives
posible,possible
comunidad,community
mujeres,women
lado,side
obra,construction site
familia,family
junto,together
director,director
problema,problem
condiciones,conditions
total,total
actividad,activity
falta,lack
buena,good
tengo,I have
investigación,investigation
algunas,some
bueno,Well
espańa,Spanish
productos,products
producción,production
último,last
presente,present
casos,cases
comisión,commission
pública,public
fuera,out
igual,equal
atención,attention
van,go
realidad,reality
objetivo,aim
estudio,study
mediante,through
control,control
verdad,TRUE
provincia,province
puntos,points
pueblo,town
buenos,good
sociales,social
hemos,we have
experiencia,experience
apoyo,support
hombre,man
varios,several
medios,media
resultados,results
obras,plays
local,local
chile,chili
dirección,address
realizar,carry out
deben,They must
base,base
mes,month
cuanto,how much
gestión,management
trata,treats
buen,good
municipal,municipal
siendo,being
julio,July
alguna,some
unidos,joined
trabajadores,workers
ayer,yesterday
proyectos,Projects
incluso,even
cultura,culture
esos,those
mańana,tomorrow
llegar,arrive
dicho,saying
región,region
segunda,second
población,population
plan,plan
paso,passed
mundial,world
conocer,know
participación,stake
estoy,I'm
jóvenes,youths
mujer,women
cargo,post
primero,first
administración,administration
nuevos,new
hora,hour
cuales,which
ciento,hundred
comunicación,communication
especial,special
claro,clear
pesos,pesos
espacio,space
estudios,studies
dios,God
nuevas,new
juego,game
mal,evil
encuentra,finds
cinco,five
mis,my
capital,capital
valor,worth
seguir,continue
autoridades,authorities
podría,could
justicia,justice
escuela,school
tuvo,had
mayoría,most
área,area
saber,know
luis,Luis
organización,organization
cuerpo,body
ministerio,ministry
acción,action
diciembre,December
largo,long
nadie,nobody
formación,training
encuentro,meeting
ir,go
consejo,advice
actual,current
construcción,construction
vamos,come on
necesario,necessary
capacidad,ability
acciones,Actions
noche,evening
hacen,do
ex,ex
cabo,cape
estudiantes,students
idea,idea
minutos,minutes
debido,due
mayo,May
orden,order
campo,field
octubre,October
haya,is
presencia,presence
tarde,late
modo,mode
permite,It allows
podemos,can
red,grid
temas,topics
edad,age
tenía,had
últimos,last
federal,federal
anterior,former
respuesta,answer
internet,Internet
ahí,there
puesto,position
cantidad,amount
usted,you
real,real
serie,series
existe,exists
próximo,next
dinero,money
dio,gave
principal,major
sería,I would be
materia,subject
libro,book
acceso,access
marco,frame
maría,Maria
alto,high
noviembre,November
calle,street
siguiente,following
central,central
alumnos,students
web,Web
algún,some
posibilidad,possibility
modelo,model
grupos,groups
medida,extent
soy,am
quiere,wants
cierto,TRUE
futuro,future
análisis,analysis
mano,hand
humanos,humans
instituto,Institute
superior,superior
propio,own
señor,or
santa,Holy
favor,favor
municipio,municipality
cerca,near
tierra,land
políticas,policies
programas,programs
ambiente,atmosphere
oportunidad,chance
domingo,Sunday
economía,economy
crisis,crisis
marzo,March
mejores,top
interés,interest
etc.,etc
conocimiento,knowledge
sigue,go on
necesidad,need
haciendo,doing
cosa,stuff
unas,nails
serán,will be